name,stargazerCount,url,owner,pullRequests
freeCodeCamp,376034,https://github.com/freeCodeCamp/freeCodeCamp,freeCodeCamp,34152
free-programming-books,300248,https://github.com/EbookFoundation/free-programming-books,EbookFoundation,9109
awesome,273178,https://github.com/sindresorhus/awesome,sindresorhus,1931
coding-interview-university,269483,https://github.com/jwasham/coding-interview-university,jwasham,902
public-apis,260760,https://github.com/public-apis/public-apis,public-apis,2844
developer-roadmap,253100,https://github.com/kamranahmedse/developer-roadmap,kamranahmedse,2492
system-design-primer,231617,https://github.com/donnemartin/system-design-primer,donnemartin,289
build-your-own-x,221433,https://github.com/codecrafters-io/build-your-own-x,codecrafters-io,223
react,214232,https://github.com/facebook/react,facebook,13595
vue,205533,https://github.com/vuejs/vue,vuejs,2185
vue,205533,https://github.com/vuejs/vue,vuejs,2185
awesome-python,183890,https://github.com/vinta/awesome-python,vinta,1472
tensorflow,178271,https://github.com/tensorflow/tensorflow,tensorflow,23260
javascript-algorithms,176513,https://github.com/trekhleb/javascript-algorithms,trekhleb,479
You-Dont-Know-JS,172196,https://github.com/getify/You-Dont-Know-JS,getify,833
Python,171372,https://github.com/TheAlgorithms/Python,TheAlgorithms,8529
CS-Notes,167673,https://github.com/CyC2018/CS-Notes,CyC2018,545
bootstrap,165601,https://github.com/twbs/bootstrap,twbs,14739
ohmyzsh,163248,https://github.com/ohmyzsh/ohmyzsh,ohmyzsh,6614
linux,159091,https://github.com/torvalds/linux,torvalds,454
awesome-selfhosted,152197,https://github.com/awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,3034
vscode,152037,https://github.com/microsoft/vscode,microsoft,24349
AutoGPT,150872,https://github.com/Significant-Gravitas/AutoGPT,Significant-Gravitas,2469
computer-science,150222,https://github.com/ossu/computer-science,ossu,405
Python-100-Days,141345,https://github.com/jackfrued/Python-100-Days,jackfrued,139
the-art-of-command-line,139970,https://github.com/jlevy/the-art-of-command-line,jlevy,460
javascript,138637,https://github.com/airbnb/javascript,airbnb,1410
youtube-dl,123965,https://github.com/ytdl-org/youtube-dl,ytdl-org,4378
fucking-algorithm,120301,https://github.com/labuladong/fucking-algorithm,labuladong,446
project-based-learning,118526,https://github.com/practical-tutorials/project-based-learning,practical-tutorials,315
